;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
187;0;8.59;2;16;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;1.0;0.0
188;0;8.49;2;64;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;0.99;0.0
189;0;8.29;2;16;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;0.99;0.0
190;0;8.29;1;64;5.5;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;1080.0;1920.0;0.99;0.0
191;0;8.09;2;64;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;0.95;0.0
192;10;7.99;4;64;5.3;1;0;3.0;13;1.0;13;1.0;4.0;4.0;2.5;1.8;1440.0;2560.0;1.0;1.0
193;11;7.99;4;64;6.23;1;0;5.0;16;1.0;25;1.0;4.0;4.0;2.0;2.0;1080.0;2280.0;1.0;1.0
194;15;7.99;4;64;5.99;1;0;3.0;16;1.0;24;1.0;8.0;0.0;1.8;0.0;720.0;1440.0;1.0;1.0
195;0;7.99;2;16;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;1.0;0.0
196;0;7.89;1;64;5.5;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;1080.0;1920.0;0.95;0.0
197;0;7.89;2;16;5.5;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;1080.0;1920.0;0.95;0.0
198;0;7.79;2;64;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;0.9;0.0
199;0;7.59;2;16;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;1.0;0.0
200;0;7.69;1;16;5.5;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;1080.0;1920.0;1.0;0.0
201;0;7.39;1;32;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;1.0;1.0
202;11;7.39;6;64;6.0;1;0;5.0;13;1.0;16;1.0;4.0;4.0;2.3;1.6;1080.0;2160.0;1.0;1.0
203;0;7.19;1;128;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;0.99;0.0
204;9;6.99;4;32;5.5;1;0;3.0;13;1.0;8;1.0;8.0;0.0;2.0;0.0;1080.0;1920.0;1.0;1.0
205;14;6.99;4;64;6.0;1;0;5.0;23;1.0;16;1.0;4.0;4.0;2.3;1.6;1080.0;1920.0;1.0;1.0
206;11;6.99;4;32;6.0;1;0;5.0;16;1.0;20;1.0;4.0;4.0;2.3;1.6;1080.0;2160.0;1.0;1.0
208;5;6.99;4;64;5.84;1;0;2.0;16;2.0;16;1.0;4.0;4.0;2.36;1.7;1080.0;2280.0;1.0;1.0
209;15;6.99;4;64;5.99;1;0;3.0;16;1.0;24;1.0;8.0;0.0;1.8;0.0;720.0;1440.0;1.0;1.0
210;14;6.79;4;64;6.0;1;0;5.0;23;1.0;16;1.0;4.0;4.0;2.3;1.6;1080.0;1920.0;1.0;1.0
211;0;6.49;2;16;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;0.99;0.0
212;0;6.49;1;32;4.7;1;1;1.0;8;1.0;2;1.0;2.0;0.0;1.4;0.0;750.0;1334.0;1.0;1.0
213;11;6.49;4;64;6.0;1;0;5.0;13;1.0;8;1.0;4.0;4.0;2.0;2.0;1080.0;2160.0;1.0;1.0
214;13;6.09;3;32;5.5;1;0;0.0;13;1.0;13;1.0;8.0;0.0;1.6;0.0;1080.0;1920.0;1.0;1.0
215;0;6.09;2;16;4.7;1;1;1.0;12;1.0;5;1.0;2.0;0.0;1.84;0.0;750.0;1334.0;0.95;0.0
